id,Formule,No Ele,Ele,BG,IM,Is BG Dir,Structure,a,b,c,alfa,beta,gamma,CA
mp-239,BaS3,2,Ba-S,1.3912999999999998,False,False,Tetragonal,4.21601149,6.95195505,6.95195505,90.0,90.0,90.0,62546.518850402324
mp-241,CdF2,2,Cd-F,2.8977000000000004,False,False,Cubic,3.8191093774786213,3.819110736075878,3.81911039,60.00001174583023,59.99999997816074,60.000016753905115,1582.3565435713263
mp-252,BeTe,2,Be-Te,2.0172999999999996,False,False,Cubic,4.004286976894119,4.004287530867143,4.00428684,60.00001418130219,60.00000970028013,60.00000613064391,10109.30351063222
mp-375,UO3,2,O-U,1.6349999999999998,False,False,Cubic,4.13541623,4.13541623,4.13541623,90.0,90.0,90.0,228128.7749448409
mp-441,Rb2Te,2,Rb-Te,1.8766,False,False,Cubic,6.054395575056957,6.054395745621043,6.05439651,60.000001482833234,60.00000061400291,59.99999802903027,65916.01898158957
mp-467,Th3N4,2,N-Th,1.4415000000000004,False,False,Trigonal,9.423207661116901,9.423207594354688,9.423208035140227,23.73309638718192,23.733091598618675,23.73309914727013,118912.24444223684
mp-648,Na2S,2,Na-S,2.4399,False,True,Cubic,4.594998001438738,4.59499878520615,4.594998,60.000005652756585,60.00000001035759,60.000001492917214,20758.96075109862
mp-672,CdS,2,Cd-S,1.125,False,True,Hexagonal,4.16883814,4.16883805902189,6.77961741,90.0,90.0,120.00000064256137,78525.5509782946
mp-706,HgF,2,F-Hg,1.7704,False,False,Tetragonal,3.6589531208317485,3.6589527733792937,6.0987490144059615,107.45615918002711,107.4561582495197,89.99998978946898,35411.833792287274
mp-762,PtS2,2,Pt-S,1.5467000000000004,False,False,Trigonal,3.54874234,3.54874203868774,5.59706654,90.0,90.0,120.00000280869371,582625.6968975696
mp-804,GaN,2,Ga-N,1.7264999999999997,False,True,Hexagonal,3.18892989,3.188930917049292,5.19235725,90.0,90.0,119.9999998231426,70831.69194936952
mp-841,Li2O2,2,Li-O,1.9742999999999997,False,False,Hexagonal,3.10263483,3.102633828952688,7.56992946,90.0,90.0,119.99998945596172,33810.16585185927
mp-947,Au2S,2,Au-S,1.9091,False,True,Cubic,5.27398218,5.27398218,5.27398218,90.0,90.0,90.0,73820.44618004526
mp-971,K2O,2,K-O,1.7072,False,False,Cubic,6.37500949,4.51565428,4.50201309,90.0,90.0,90.0,56559.447699334894
mp-10074,GeSe2,2,Ge-Se,1.5188000000000001,False,False,Tetragonal,5.93662974688647,5.9366304358556725,6.3658686669788045,117.7934895774767,117.7934832751267,90.00000218767529,311810.4860485964
mp-10086,YSF,3,F-S-Y,1.3132000000000001,False,True,Tetragonal,3.77298504,3.77298504,6.82666712,90.0,90.0,90.0,34889.893234775016
mp-10226,NaYS2,3,Na-S-Y,2.2634999999999996,False,False,Trigonal,6.988533504547011,6.988533504547011,6.988534491865664,33.04976285078707,33.04976285078707,33.0497562013526,11879.041046585753
mp-10322,BaHfN2,3,Ba-Hf-N,1.2537000000000003,False,False,Tetragonal,4.13241419,4.13241419,8.42759229,90.0,90.0,90.0,98647.84265207368
