Formule,Ele,BG,Structure,CA,cluster,Compuesto
LiH,H-Li,2.981,1,10195.54681615706,4,Binario
Li2Se,Li-Se,2.9746,1,4373.008537554134,4,Binario
RbH,H-Rb,2.9163,1,6317.384331064218,4,Binario
CdF2,Cd-F,2.8977000000000004,1,1582.3565435713265,4,Binario
GdF3,F-Gd,2.8622,1,3692.417624135585,4,Binario
MgS,Mg-S,2.7574,1,4272.297077896137,4,Binario
SnF3,F-Sn,2.7195,1,7433.081679332176,4,Binario
BeSe,Be-Se,2.6636999999999995,1,4356.541193094771,4,Binario
MgSe,Mg-Se,2.5476,1,14204.630377360634,4,Binario
TlCl,Cl-Tl,2.5369,1,11392.240573333442,4,Binario
SrS,S-Sr,2.497,1,8017.255570936087,4,Binario
Li2Te,Li-Te,2.4914,1,7401.304700239134,4,Binario
Na2S,Na-S,2.4399,1,20758.96075109862,4,Binario
CaS,Ca-S,2.3819,1,7292.231318288678,4,Binario
CsH,Cs-H,2.3475,1,42008.82153760337,4,Binario
K2S,K-S,2.3201,1,20112.421519871445,4,Binario
TlBr,Br-Tl,2.2962,1,17298.444781439,4,Binario
SrSe,Se-Sr,2.2313,1,13824.998866014525,4,Binario
TlI,I-Tl,2.2086,1,31587.381363825298,4,Binario
BaS,Ba-S,2.1488,1,51310.029329953926,4,Binario
K2Te,K-Te,2.141,1,72126.33369519562,4,Binario
BaO,Ba-O,2.0906,1,51618.28338660007,4,Binario
CaSe,Ca-Se,2.0728000000000004,1,11530.258802301702,4,Binario
Na2Te,Na-Te,2.0282,1,62561.616050623,4,Binario
BeTe,Be-Te,2.0173,1,10109.30351063222,4,Binario
Na2Se,Na-Se,2.0153,1,70067.0174791174,4,Binario
Rb2S,Rb-S,1.9632,1,45433.19359762542,4,Binario
